0;249;3146;133
1;188;3507;130
2;296;2861;105
3;305;3495;127
4;225;3612;145
5;244;2770;105
6;68;9;1
7;174;3536;132
8;507;3646;134
9;209;3048;139
10;213;3520;119
11;183;3680;157
12;170;2538;97
13;205;3623;124
14;191;3419;126
15;259;3750;142
16;185;3697;133
17;233;3644;134
18;238;2519;96
19;222;3660;152
20;234;3591;143
21;204;3026;131
22;250;3622;149
23;252;2518;108
24;316;3861;137
25;147;3607;131
26;327;2743;117
27;262;3517;120
28;225;3020;122
29;320;3799;148
30;191;3615;140
31;242;3436;117
32;239;3548;133
33;177;2717;92
34;177;3112;106
35;188;3335;124
36;203;3623;134
37;163;3841;157
38;294;2575;116
39;227;3609;138
40;258;3594;145
41;265;3815;160
42;234;3392;127
43;289;3768;146
44;204;3106;126
45;265;3139;110
46;268;3200;113
47;438;3488;126
48;308;3804;131
49;178;2804;106
