0;110;414;3
1;106;491;5
2;71;38;0
3;103;239;1
4;106;627;3
5;123;523;3
6;67;8;1
7;106;748;4
8;94;278;1
9;80;181;1
10;136;327;5
11;146;703;4
12;105;745;11
13;111;251;4
14;98;515;3
15;103;445;4
16;106;649;8
17;97;596;3
18;98;267;7
19;105;284;3
20;111;217;0
21;104;216;1
22;97;489;3
23;94;377;4
24;109;376;1
25;102;473;3
26;97;129;0
27;119;447;4
28;102;350;3
29;108;538;5
30;108;670;5
31;103;244;2
32;104;453;3
33;97;689;6
34;117;445;2
35;133;291;4
36;100;405;2
37;120;822;12
38;62;15;1
39;126;463;1
40;107;283;5
41;88;94;0
42;100;228;1
43;108;477;7
44;112;508;4
45;117;317;1
46;104;505;4
47;117;234;3
48;110;332;2
49;97;257;1
