0;107;327;9
1;120;201;4
2;103;164;6
3;91;225;9
4;102;194;7
5;116;334;11
6;68;9;1
7;113;346;9
8;87;87;1
9;97;179;7
10;100;434;18
11;98;304;14
12;117;424;15
13;90;143;2
14;106;220;2
15;99;306;10
16;91;432;16
17;96;394;9
18;88;257;10
19;109;278;7
20;95;174;6
21;55;37;1
22;96;178;2
23;98;180;2
24;59;23;1
25;110;193;6
26;96;184;1
27;105;358;9
28;108;224;11
29;82;174;4
30;106;322;11
31;95;143;6
32;89;291;11
33;107;402;10
34;101;182;4
35;99;101;4
36;92;101;5
37;96;411;19
38;74;27;2
39;108;366;7
40;97;177;6
41;100;323;8
42;87;327;14
43;87;230;7
44;86;237;5
45;100;142;4
46;125;409;8
47;109;58;2
48;109;295;4
49;96;383;8
