0;111;193;8
1;110;112;5
2;109;173;8
3;87;241;14
4;113;292;13
5;97;439;15
6;110;305;12
7;103;198;4
8;103;457;19
9;92;444;17
10;108;495;22
11;100;359;10
12;55;16;0
13;100;481;24
14;100;185;5
15;95;634;24
16;114;760;28
17;103;155;5
18;102;278;9
19;114;439;21
20;122;335;14
21;99;280;9
22;113;489;17
23;105;387;16
24;106;546;11
25;133;418;21
26;98;244;2
27;110;93;1
28;100;70;4
29;105;283;7
30;56;45;2
31;80;53;2
32;122;490;18
33;94;419;14
34;97;466;19
35;96;307;7
36;100;378;15
37;104;227;7
38;113;321;16
39;96;293;10
40;101;405;18
41;139;384;15
42;109;275;9
43;98;214;10
44;104;297;15
45;109;129;1
46;122;438;10
47;101;260;14
48;112;420;13
49;111;425;11
